rep_id,success,n_obs,event_rate,n_events,f_stat_naive,f_stat_cluster,n_clusters,gamma_hat,gamma_se,lambda_hat,gamma_ci_lo,gamma_ci_hi,gamma_covers_true,elapsed_sec
53,True,40000,0.03085,1234,37134.92785087779,42711.97921687507,32,0.4879761515761623,0.029681933621336226,0.3128023238451467,0.4297995616783433,0.5461527414739813,True,42.99
54,True,40000,0.02925,1170,37248.67985153315,41421.851832581415,32,0.48548976791048176,0.030711465819512663,0.31747638361796743,0.42529529490423695,0.5456842409167266,True,42.53
55,True,40000,0.0306,1224,36761.95667566708,41521.70789941053,32,0.4393496195334878,0.02976315896809066,0.4028966109862337,0.38101382795603006,0.4976854111109455,False,52.73
56,True,40000,0.0296,1184,37577.42925667152,69050.93866290341,32,0.5122730524129767,0.030191552220448326,0.3152365694205327,0.453097610060898,0.5714484947650554,True,41.45
57,True,40000,0.0303,1212,37536.930569562224,50742.33935765262,32,0.5049582091195585,0.03021793032034005,0.2974714066339482,0.44573106569169196,0.564185352547425,True,42.03
58,True,40000,0.029525,1181,36854.33093068178,38623.10691891938,32,0.5148238485821158,0.030542117356580453,0.2892920704726742,0.45496129856321815,0.5746863986010136,True,41.17
59,True,40000,0.0289,1156,36576.38490710081,47868.42010113436,32,0.49002663097693977,0.03104829558858678,0.39262986882261214,0.42917197162330967,0.5508812903305699,True,40.95
60,True,40000,0.0296,1184,37291.99902678338,81674.33568400155,32,0.48377292240817016,0.030992716286415686,0.2927721970368807,0.42302719848679543,0.5445186463295449,True,40.95
61,True,40000,0.029675,1187,37900.24988323077,42005.17442589793,32,0.528283370879299,0.029607129548837065,0.26718062833899603,0.4702533969635784,0.5863133447950196,True,41.03
62,True,40000,0.030225,1209,37465.80978011549,42058.88536138416,32,0.48154596065093097,0.028719926072477118,0.38818288405681917,0.4252549055488758,0.5378370157529861,True,41.69
63,True,40000,0.030575,1223,38151.389106389564,63462.83556649095,32,0.4643036438678083,0.029130148538858584,0.36486407761663664,0.40720855273164547,0.5213987350039712,True,41.01
64,True,40000,0.02915,1166,37041.258958768965,47519.95715445863,32,0.5058961337967585,0.03075801271586353,0.3983291957828681,0.445610428873666,0.566181838719851,True,41.29
65,True,40000,0.0297,1188,37427.80986109308,66292.68405732789,32,0.508136379107773,0.029437055257097916,0.3554857946162412,0.45043975080386106,0.5658330074116849,True,41.35
66,True,40000,0.0301,1204,37591.63720007759,35989.892249030476,32,0.4527553321106758,0.02979698824653705,0.42956367731934514,0.3943532351474632,0.5111574290738884,True,41.11
67,True,40000,0.0292,1168,37816.903427144265,41984.26269833004,32,0.5012315991545798,0.030476993847853247,0.3014335898582611,0.44149669121278745,0.5609665070963722,True,41.37
