okpd2_raw,product_name_raw,first_year,last_year,monthly_available,annual_available,national_available,regional_available,n_observations,n_observed_values,n_confidential,n_unavailable,n_structurally_missing
,"Молоко  сырое  крупного рогатого 
  скота",2023,2023,True,False,True,False,12,12,0,0,0
,"Молоко сырое крупного 
рогатого скота",2010,2021,False,True,True,False,24,24,0,0,0
,Молоко сырое крупного рогатого скота,2021,2024,True,False,True,False,24,24,0,0,0
,Морковь столовая,2010,2024,True,True,True,False,57,57,0,0,0
,Московская область,2025,2026,True,False,False,True,592,361,143,88,0
,Мурманская область,2025,2026,True,False,False,True,76,9,63,4,0
,Ненецкий автономный округ (Архангельская область),2025,2026,True,False,False,True,185,68,81,36,0
,Нижегородская область,2025,2026,True,False,False,True,641,441,145,55,0
,Новгородская область,2025,2026,True,False,False,True,425,185,169,71,0
,Новосибирская область,2025,2026,True,False,False,True,758,396,223,139,0
,Овес,2010,2024,True,True,True,False,57,57,0,0,0
,Овощи,2010,2024,True,True,True,False,69,45,0,0,24
,"Овощи бобовые сушеные 
  (культуры зернобобовые)",2023,2023,True,False,True,False,12,12,0,0,0
,"Овощи бобовые сушеные 
(культуры зернобобовые)",2010,2024,True,True,True,False,33,33,0,0,0
,"Овощи бобовые сушеные (культуры 
зернобобовые)",2021,2021,True,False,True,False,12,12,0,0,0
,Овцы и козы,2010,2024,True,True,True,False,57,56,0,1,0
,Огурцы,2010,2024,True,True,True,False,57,57,0,0,0
,Огурцы закрытого грунта,2021,2024,True,False,True,False,45,45,0,0,0
,Огурцы открытого грунта,2021,2024,True,False,True,False,45,10,1,29,5
,Олени северные,2021,2024,True,False,True,False,45,45,0,0,0
,Омская область,2025,2026,True,False,False,True,615,309,224,82,0
,Оренбургская область,2025,2026,True,False,False,True,397,211,115,71,0
,Орловская область,2025,2026,True,False,False,True,551,377,130,44,0
,Пензенская область,2025,2026,True,False,False,True,860,431,237,192,0
,Пермский край,2025,2026,True,False,False,True,437,242,154,41,0
,Приморский край,2025,2026,True,False,False,True,537,290,182,65,0
,Просо,2010,2024,True,True,True,False,57,57,0,0,0
,"Пряности необработанные, кроме семян",2024,2024,True,False,True,False,12,3,4,4,1
,Псковская область,2025,2026,True,False,False,True,442,259,117,66,0
,"Птица сельскохозяйственная 
живая",2010,2021,False,True,True,False,12,12,0,0,0
,Птица сельскохозяйственная живая,2021,2024,True,False,True,False,45,45,0,0,0
,Пшеница,2010,2024,True,True,True,False,57,57,0,0,0
,Пшеница твердая,2021,2024,True,False,True,False,45,45,0,0,0
,"Пшеница, кроме твердой пшеницы",2021,2024,True,False,True,False,45,45,0,0,0
,Республика Адыгея (Адыгея),2025,2026,True,False,False,True,399,165,176,58,0
,Республика Алтай,2025,2026,True,False,False,True,138,39,44,55,0
,Республика Башкортостан,2025,2026,True,False,False,True,686,393,206,87,0
,Республика Бурятия,2025,2026,True,False,False,True,354,127,130,97,0
,Республика Дагестан,2025,2026,True,False,False,True,361,120,176,65,0
,Республика Ингушетия,2025,2026,True,False,False,True,257,40,99,118,0
,Республика Калмыкия,2025,2026,True,False,False,True,383,113,157,113,0
,Республика Карелия,2025,2026,True,False,False,True,57,27,30,0,0
,Республика Коми,2025,2026,True,False,False,True,304,76,197,31,0
,Республика Крым,2025,2026,True,False,False,True,729,388,218,123,0
,Республика Марий Эл,2025,2026,True,False,False,True,394,234,121,39,0
,Республика Мордовия,2025,2026,True,False,False,True,860,380,273,207,0
,Республика Саха (Якутия),2025,2026,True,False,False,True,365,108,209,48,0
,Республика Северная Осетия-Алания,2025,2026,True,False,False,True,454,82,224,148,0
,Республика Татарстан (Татарстан),2025,2026,True,False,False,True,686,412,194,80,0
,Республика Тыва,2025,2026,True,False,False,True,107,40,44,23,0
,Республика Хакасия,2025,2026,True,False,False,True,256,92,127,37,0
,Рис  нешелушеный,2021,2021,True,False,True,False,12,12,0,0,0
,Рис нешелушеный,2022,2024,True,False,True,False,33,33,0,0,0
,Рожь,2010,2024,True,True,True,False,57,57,0,0,0
,Ростовская область,2025,2026,True,False,False,True,760,364,267,129,0
,Рязанская область,2025,2026,True,False,False,True,749,412,207,130,0
,Самарская область,2025,2026,True,False,False,True,786,463,242,81,0
,Саратовская область,2025,2026,True,False,False,True,734,411,195,128,0
,Сахалинская область,2025,2026,True,False,False,True,342,266,73,3,0
,Свекла столовая,2010,2024,True,True,True,False,57,57,0,0,0
,Свердловская область,2025,2026,True,False,False,True,551,437,79,35,0
,Свиньи,2010,2024,True,True,True,False,57,57,0,0,0
,Семена подсолнечника,2010,2024,True,True,True,False,69,69,0,0,0
,Семена рапса,2021,2024,True,False,True,False,45,45,0,0,0
,Семечковые плоды,2021,2024,True,False,True,False,45,45,0,0,0
,Скот и птица (в живом весе),2010,2024,True,True,True,False,69,45,0,0,24
,Смоленская область,2025,2026,True,False,False,True,458,144,191,123,0
,Ставропольский край,2025,2026,True,False,False,True,825,405,229,191,0
,Тамбовская область,2025,2026,True,False,False,True,665,386,175,104,0
,Тверская область,2025,2026,True,False,False,True,385,161,135,89,0
,Томаты  (помидоры),2010,2023,True,True,True,False,45,45,0,0,0
,Томаты (помидоры),2024,2024,True,False,True,False,12,12,0,0,0
,Томаты (помидоры) закрытого грунта,2021,2024,True,False,True,False,45,45,0,0,0
,Томаты (помидоры) открытого грунта,2021,2024,True,False,True,False,45,7,3,33,2
,Томская область,2025,2026,True,False,False,True,544,287,223,34,0
,Тритикале,2021,2023,True,False,True,False,33,14,0,3,16
,Тритикале (пшенично-ржаной гибрид),2024,2024,True,False,True,False,12,0,1,10,1
,Тульская область,2025,2026,True,False,False,True,612,298,213,101,0
,Тюменская область,2025,2026,True,False,False,True,572,351,194,27,0
,Тюменская область (кроме Ханты-Мансийского автономного округа-Югры и Ямало-Ненецкого автономного округа),2025,2026,True,False,False,True,539,362,160,17,0
,Удмуртская Республика,2025,2026,True,False,False,True,525,291,177,57,0
,Ульяновская область,2025,2026,True,False,False,True,684,334,210,140,0
,Хабаровский край,2025,2026,True,False,False,True,271,127,99,45,0
,Ханты-Мансийский автономный округ - Югра (Тюменская область),2025,2026,True,False,False,True,128,55,60,13,0
,Челябинская область,2025,2026,True,False,False,True,570,287,224,59,0
,Чеснок,2024,2024,True,False,True,False,12,0,1,11,0
,Чеченская Республика,2025,2026,True,False,False,True,426,127,147,152,0
,Чувашская Республика - Чувашия,2025,2026,True,False,False,True,513,301,145,67,0
,Чукотский автономный округ,2025,2026,True,False,False,True,190,62,106,22,0
,"Шерсть  стриженая  немытая овец и коз, 
  включая стриженую шерсть, промытую 
  руном",2023,2023,True,False,True,False,12,2,0,7,3
,"Шерсть  стриженая  немытая овец и коз, включая стриженую шерсть, промытую руном",2021,2022,True,False,True,False,21,8,0,12,1
,"Шерсть стриженая немытая овец и коз, 
включая стриженую шерсть, промытую руном",2024,2024,True,False,True,False,12,3,4,5,0
,"Шкурки невыделанные лисицы 
клеточного разведения",2024,2024,True,False,True,False,12,0,0,11,1
,"Шкурки невыделанные норки 
  клеточного разведения",2023,2023,True,False,True,False,12,9,0,0,3
,"Шкурки невыделанные норки 
клеточного разведения",2022,2024,True,False,True,False,21,11,2,5,3
,Шкурки невыделанные норки клеточного разведения,2021,2021,True,False,True,False,12,10,0,0,2
,"Шкурки невыделанные песца 
клеточного разведения",2024,2024,True,False,True,False,12,0,0,11,1
,"Шкурки невыделанные соболя 
клеточного разведения",2024,2024,True,False,True,False,12,0,2,9,1
,"Ягоды и плоды растений 
вида Vaccinium",2022,2022,True,False,True,False,9,4,0,4,1
,"Ягоды и плоды растений вида 
  Vaccinium",2023,2023,True,False,True,False,12,6,0,4,2
,Ягоды и плоды растений вида Vaccinium,2021,2024,True,False,True,False,24,9,3,9,3
,"Яйца куриные 
в скорлупе свежие",2010,2021,False,True,True,False,12,12,0,0,0
,Яйца куриные в скорлупе свежие,2010,2024,True,True,True,False,57,57,0,0,0
,Ямало-Ненецкий автономный округ (Тюменская область),2025,2026,True,False,False,True,167,21,82,64,0
,Ярославская область,2025,2026,True,False,False,True,463,145,232,86,0
,Ячмень,2010,2024,True,True,True,False,57,57,0,0,0
,г.Севастополь,2025,2025,True,False,False,True,144,1,75,68,0
,гречиха,2010,2021,False,True,True,False,12,12,0,0,0
,капуста всех сортов,2010,2021,False,True,True,False,12,12,0,0,0
,крупный рогатый скот,2010,2021,False,True,True,False,12,12,0,0,0
,кукуруза,2010,2021,False,True,True,False,12,12,0,0,0
,лук репчатый,2010,2021,False,True,True,False,12,12,0,0,0
,морковь столовая,2010,2021,False,True,True,False,12,12,0,0,0
,овес,2010,2021,False,True,True,False,12,12,0,0,0
,"овощи бобовые сушеные 
(культуры зернобобовые)",2010,2021,False,True,True,False,12,12,0,0,0
,овцы и козы,2010,2021,False,True,True,False,12,12,0,0,0
,огурцы,2010,2021,False,True,True,False,12,12,0,0,0
,просо,2010,2021,False,True,True,False,12,12,0,0,0
,"птица сельскохозяйственная 
живая",2010,2021,False,True,True,False,12,12,0,0,0
,пшеница,2010,2021,False,True,True,False,12,12,0,0,0
,пшеница мягкая 1 класса,2021,2024,True,False,True,False,45,10,9,7,19
,пшеница мягкая 2 класса,2021,2024,True,False,True,False,45,6,10,4,25
,пшеница мягкая 3 класса,2021,2024,True,False,True,False,45,45,0,0,0
,пшеница мягкая 4 класса,2021,2024,True,False,True,False,45,45,0,0,0
,пшеница мягкая 5 класса,2021,2024,True,False,True,False,45,45,0,0,0
,рожь,2010,2021,False,True,True,False,12,12,0,0,0
,свекла столовая,2010,2021,False,True,True,False,12,12,0,0,0
,свиньи,2010,2021,False,True,True,False,12,12,0,0,0
,томаты (помидоры),2010,2021,False,True,True,False,12,12,0,0,0
,ячмень,2010,2021,False,True,True,False,12,12,0,0,0
