source_file,source_sheet,source_row_excel,source_column_excel,year,month,frequency,geography_level,region_name,region_source_code,product_name_raw,okpd2_raw,raw_value,value_numeric,value_status,price_timing,unit_raw
cena_sx_07-2026.xlsx,6.1,2660,M,2025,11.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2660,N,2025,12.0,monthly,subject,Ханты-Мансийский автономный округ - Югра (Тюменская область),,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,C,2025,1.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,D,2025,2.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,E,2025,3.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,F,2025,4.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,G,2025,5.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,H,2025,6.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,I,2025,7.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,J,2025,8.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,K,2025,9.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,L,2025,10.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,M,2025,11.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2661,N,2025,12.0,monthly,subject,Ямало-Ненецкий автономный округ (Тюменская область),,Олени северные,01.49.19.110,248315.34,248315.34,observed,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,C,2025,1.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,D,2025,2.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,E,2025,3.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,F,2025,4.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,G,2025,5.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,H,2025,6.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,I,2025,7.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,J,2025,8.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,K,2025,9.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,L,2025,10.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,M,2025,11.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2662,N,2025,12.0,monthly,federal_district,Сибирский федеральный округ,,Олени северные,01.49.19.110,...,,confidential,end_of_period,RUB/ton
cena_sx_07-2026.xlsx,6.1,2663,C,2025,1.0,monthly,subject,Красноярский край,,Олени северные,01.49.19.110,-,,unavailable,end_of_period,RUB/ton
